game_slug,game_end_date,game_start_date,game_location,game_name,game_season,game_year
tokyo-2020,2021-08-08T16:00:00.000+02:00,2021-07-23T13:00:00.000+02:00,Japan,Tokyo 2020,Summer,2020
rio-2016,2016-08-21T23:00:00.000+02:00,2016-08-05T14:00:00.000+02:00,Brazil,Rio 2016,Summer,2016
london-2012,2012-08-12T21:00:00.000+02:00,2012-07-27T09:00:00.000+02:00,Great Britain,London 2012,Summer,2012
beijing-2008,2008-08-24T14:00:00.000+02:00,2008-08-08T02:00:00.000+02:00,China,Beijing 2008,Summer,2008
athens-2004,2004-08-29T20:00:00.000+02:00,2004-08-13T08:00:00.000+02:00,Greece,Athens 2004,Summer,2004
sydney-2000,2000-10-01T11:00:00.000+02:00,2000-09-15T03:00:00.000+02:00,Australia,Sydney 2000,Summer,2000
atlanta-1996,1996-08-05T23:00:00.000+02:00,1996-07-19T14:00:00.000+02:00,United States,Atlanta 1996,Summer,1996
barcelona-1992,1992-08-09T20:00:00.000+02:00,1992-07-25T08:00:00.000+02:00,Spain,Barcelona 1992,Summer,1992
seoul-1988,1988-10-02T11:00:00.000+01:00,1988-09-17T00:00:00.000+02:00,Republic of Korea,Seoul 1988,Summer,1988
los-angeles-1984,1984-08-12T21:00:00.000+02:00,1984-07-28T17:00:00.000+02:00,United States,Los Angeles 1984,Summer,1984
moscow-1980,1980-08-03T20:00:00.000+02:00,1980-07-19T07:00:00.000+02:00,USSR,Moscow 1980,Summer,1980
montreal-1976,1976-08-01T00:00:00.000+02:00,1976-07-17T14:00:00.000+02:00,Canada,Montreal 1976,Summer,1976
munich-1972,1972-09-11T20:00:00.000+01:00,1972-08-26T08:00:00.000+01:00,Federal Republic of Germany,Munich 1972,Summer,1972
mexico-city-1968,1968-10-28T05:00:00.000+01:00,1968-10-12T17:00:00.000+01:00,Mexico,Mexico City 1968,Summer,1968
tokyo-1964,1964-10-24T12:00:00.000+01:00,1964-10-10T00:00:00.000+01:00,Japan,Tokyo 1964,Summer,1964
rome-1960,1960-09-11T20:00:00.000+01:00,1960-08-25T08:00:00.000+01:00,Italy,Rome 1960,Summer,1960
melbourne-1956,1956-12-08T11:00:00.000+01:00,1956-11-21T23:00:00.000+01:00,"Australia, Sweden",Melbourne 1956,Summer,1956
helsinki-1952,1952-08-03T08:00:00.000+01:00,1952-07-19T08:00:00.000+01:00,Finland,Helsinki 1952,Summer,1952
london-1948,1948-08-14T20:00:00.000+01:00,1948-07-29T08:00:00.000+01:00,Great Britain,London 1948,Summer,1948
berlin-1936,1936-08-16T20:00:00.000+01:00,1936-08-01T08:00:00.000+01:00,Germany,Berlin 1936,Summer,1936
los-angeles-1932,1932-08-14T20:00:00.000+01:00,1932-07-30T17:00:00.000+01:00,United States,Los Angeles 1932,Summer,1932
amsterdam-1928,1928-08-12T20:00:00.000+01:00,1928-05-17T08:00:00.000+01:00,Netherlands,Amsterdam 1928,Summer,1928
paris-1924,1924-07-27T20:00:00.000+01:00,1924-05-04T08:00:00.000+01:00,France,Paris 1924,Summer,1924
antwerp-1920,1920-09-12T20:00:00.000+01:00,1920-04-20T08:00:00.000+01:00,Belgium,Antwerp 1920,Summer,1920
stockholm-1912,1912-07-27T20:00:00.000Z,1912-05-05T08:00:00.000Z,Sweden,Stockholm 1912,Summer,1912
london-1908,1908-10-31T20:18:21.000+00:09,1908-04-27T08:09:21.000+00:09,Great Britain,London 1908,Summer,1908
st-louis-1904,1904-11-24T02:09:21.000+00:09,1904-07-01T14:09:21.000+00:09,United States,St. Louis 1904,Summer,1904
paris-1900,1900-10-28T20:00:00.000+00:09,1900-05-14T09:00:00.000+00:09,France,Paris 1900,Summer,1900
athens-1896,1896-04-15T11:49:00.000+00:09,1896-04-06T11:48:00.000+00:09,Greece,Athens 1896,Summer,1896
