discipline_title,event_title,game_slug,participant_type,medal_type,rank_position,country_3_letter_code,medal_type_encoded
Athletics,marathon women,athens-2004,Athlete,0,54,RWA,0.0
Athletics,marathon women,athens-2004,Athlete,0,55,ARG,0.0
Athletics,marathon women,athens-2004,Athlete,0,56,PRK,0.0
Athletics,marathon women,athens-2004,Athlete,0,57,TPE,0.0
Athletics,marathon women,athens-2004,Athlete,0,58,CHI,0.0
Athletics,marathon women,athens-2004,Athlete,0,59,CUB,0.0
Athletics,marathon women,athens-2004,Athlete,0,60,HUN,0.0
Athletics,marathon women,athens-2004,Athlete,0,61,MDA,0.0
Athletics,marathon women,athens-2004,Athlete,0,62,POR,0.0
Athletics,marathon women,athens-2004,Athlete,0,63,LTU,0.0
Athletics,marathon women,athens-2004,Athlete,0,64,LES,0.0
Athletics,marathon women,athens-2004,Athlete,0,65,TLS,0.0
Athletics,marathon women,athens-2004,Athlete,0,66,MGL,0.0
Athletics,marathon women,athens-2004,Athlete,0,DNF,GBR,0.0
Athletics,marathon women,athens-2004,Athlete,0,DNF,KEN,0.0
Athletics,marathon women,athens-2004,Athlete,0,DNF,GER,0.0
Athletics,marathon women,athens-2004,Athlete,0,DNF,POL,0.0
Athletics,marathon women,athens-2004,Athlete,0,DNF,PRK,0.0
Athletics,marathon women,athens-2004,Athlete,0,DNF,FRA,0.0
Athletics,marathon women,athens-2004,Athlete,0,DNF,ALG,0.0
Athletics,marathon women,athens-2004,Athlete,0,DNF,BRA,0.0
Athletics,marathon women,athens-2004,Athlete,0,DNF,BRA,0.0
Athletics,marathon women,athens-2004,Athlete,0,DNF,ETH,0.0
Athletics,marathon women,athens-2004,Athlete,0,DNF,ROU,0.0
Athletics,marathon women,athens-2004,Athlete,0,DNF,BRN,0.0
Athletics,marathon women,athens-2004,Athlete,0,DNF,TAN,0.0
Athletics,marathon women,athens-2004,Athlete,0,DNF,ETH,0.0
Athletics,marathon women,athens-2004,Athlete,0,DNF,TUR,0.0
Athletics,marathon women,athens-2004,Athlete,0,DNF,KGZ,0.0
Athletics,triple jump men,athens-2004,Athlete,GOLD,1,SWE,2.0
Athletics,triple jump men,athens-2004,Athlete,SILVER,2,ROU,3.0
Athletics,triple jump men,athens-2004,Athlete,BRONZE,3,RUS,1.0
Athletics,triple jump men,athens-2004,Athlete,0,4,CUB,0.0
Athletics,triple jump men,athens-2004,Athlete,0,5,BRA,0.0
Athletics,triple jump men,athens-2004,Athlete,0,6,GRE,0.0
Athletics,triple jump men,athens-2004,Athlete,0,7,RUS,0.0
Athletics,triple jump men,athens-2004,Athlete,0,8,CUB,0.0
Athletics,triple jump men,athens-2004,Athlete,0,9,USA,0.0
Athletics,triple jump men,athens-2004,Athlete,0,10,FRA,0.0
Athletics,triple jump men,athens-2004,Athlete,0,11,USA,0.0
Athletics,triple jump men,athens-2004,Athlete,0,DNS,AZE,0.0
Athletics,high jump men,athens-2004,Athlete,GOLD,1,SWE,2.0
Athletics,high jump men,athens-2004,Athlete,SILVER,2,USA,3.0
Athletics,high jump men,athens-2004,Athlete,BRONZE,3,CZE,1.0
Athletics,high jump men,athens-2004,Athlete,0,4,USA,0.0
Athletics,high jump men,athens-2004,Athlete,0,5,UKR,0.0
Athletics,high jump men,athens-2004,Athlete,0,6,RUS,0.0
Athletics,high jump men,athens-2004,Athlete,0,7,CAN,0.0
Athletics,high jump men,athens-2004,Athlete,0,8,CZE,0.0
Athletics,high jump men,athens-2004,Athlete,0,9,RUS,0.0
Athletics,high jump men,athens-2004,Athlete,0,10,SCG,0.0
Athletics,high jump men,athens-2004,Athlete,0,11,CUB,0.0
Athletics,high jump men,athens-2004,Athlete,0,12,ITA,0.0
Athletics,javelin throw men,athens-2004,Athlete,GOLD,1,NOR,2.0
Athletics,javelin throw men,athens-2004,Athlete,SILVER,2,LAT,3.0
Athletics,javelin throw men,athens-2004,Athlete,BRONZE,3,RUS,1.0
Athletics,javelin throw men,athens-2004,Athlete,0,4,GBR,0.0
Athletics,javelin throw men,athens-2004,Athlete,0,5,RUS,0.0
Athletics,javelin throw men,athens-2004,Athlete,0,6,EST,0.0
Athletics,javelin throw men,athens-2004,Athlete,0,7,LAT,0.0
Athletics,javelin throw men,athens-2004,Athlete,0,8,FIN,0.0
Athletics,javelin throw men,athens-2004,Athlete,0,9,CZE,0.0
Athletics,javelin throw men,athens-2004,Athlete,0,10,FIN,0.0
Athletics,javelin throw men,athens-2004,Athlete,0,11,FIN,0.0
Athletics,javelin throw men,athens-2004,Athlete,0,12,USA,0.0
Athletics,hammer throw women,athens-2004,Athlete,GOLD,1,RUS,2.0
Athletics,hammer throw women,athens-2004,Athlete,SILVER,2,CUB,3.0
Athletics,hammer throw women,athens-2004,Athlete,BRONZE,3,CUB,1.0
Athletics,hammer throw women,athens-2004,Athlete,0,4,GER,0.0
Athletics,hammer throw women,athens-2004,Athlete,0,5,POL,0.0
Athletics,hammer throw women,athens-2004,Athlete,0,6,BLR,0.0
Athletics,hammer throw women,athens-2004,Athlete,0,7,CHN,0.0
Athletics,hammer throw women,athens-2004,Athlete,0,8,UKR,0.0
Athletics,hammer throw women,athens-2004,Athlete,0,9,TTO,0.0
Athletics,hammer throw women,athens-2004,Athlete,0,10,CHN,0.0
Athletics,hammer throw women,athens-2004,Athlete,0,11,GER,0.0
Athletics,hammer throw women,athens-2004,Athlete,0,12,GRE,0.0
Athletics,long jump men,athens-2004,Athlete,GOLD,1,USA,2.0
Athletics,long jump men,athens-2004,Athlete,SILVER,2,USA,3.0
Athletics,long jump men,athens-2004,Athlete,BRONZE,3,ESP,1.0
Athletics,long jump men,athens-2004,Athlete,0,4,JAM,0.0
Athletics,long jump men,athens-2004,Athlete,0,5,GBR,0.0
Athletics,long jump men,athens-2004,Athlete,0,6,GHA,0.0
Athletics,long jump men,athens-2004,Athlete,0,7,CUB,0.0
Athletics,long jump men,athens-2004,Athlete,0,8,ROU,0.0
Athletics,long jump men,athens-2004,Athlete,0,9,RUS,0.0
Athletics,long jump men,athens-2004,Athlete,0,10,MRI,0.0
Athletics,long jump men,athens-2004,Athlete,0,11,ESP,0.0
Athletics,long jump men,athens-2004,Athlete,0,12,FRA,0.0
Athletics,long jump men,athens-2004,Athlete,0,DNS,UKR,0.0
Athletics,400m hurdles women,athens-2004,Athlete,GOLD,1,GRE,2.0
Athletics,400m hurdles women,athens-2004,Athlete,SILVER,2,ROU,3.0
Athletics,400m hurdles women,athens-2004,Athlete,BRONZE,3,UKR,1.0
Athletics,400m hurdles women,athens-2004,Athlete,0,4,USA,0.0
Athletics,400m hurdles women,athens-2004,Athlete,0,5,AUS,0.0
Athletics,400m hurdles women,athens-2004,Athlete,0,6,RUS,0.0
Athletics,400m hurdles women,athens-2004,Athlete,0,7,USA,0.0
Athletics,400m hurdles women,athens-2004,Athlete,0,8,RUS,0.0
Athletics,400m hurdles women,athens-2004,Athlete,0,DNS,GER,0.0
Athletics,10000m men,athens-2004,Athlete,GOLD,1,ETH,2.0
Athletics,10000m men,athens-2004,Athlete,SILVER,2,ETH,3.0
Athletics,10000m men,athens-2004,Athlete,BRONZE,3,ERI,1.0
Athletics,10000m men,athens-2004,Athlete,0,4,UGA,0.0
Athletics,10000m men,athens-2004,Athlete,0,5,ETH,0.0
Athletics,10000m men,athens-2004,Athlete,0,6,KEN,0.0
Athletics,10000m men,athens-2004,Athlete,0,7,KEN,0.0
Athletics,10000m men,athens-2004,Athlete,0,8,FRA,0.0
Athletics,10000m men,athens-2004,Athlete,0,9,ESP,0.0
Athletics,10000m men,athens-2004,Athlete,0,10,TAN,0.0
Athletics,10000m men,athens-2004,Athlete,0,11,UGA,0.0
Athletics,10000m men,athens-2004,Athlete,0,12,USA,0.0
Athletics,10000m men,athens-2004,Athlete,0,13,KEN,0.0
Athletics,10000m men,athens-2004,Athlete,0,14,NED,0.0
Athletics,10000m men,athens-2004,Athlete,0,15,USA,0.0
Athletics,10000m men,athens-2004,Athlete,0,16,ERI,0.0
Athletics,10000m men,athens-2004,Athlete,0,17,RWA,0.0
Athletics,10000m men,athens-2004,Athlete,0,18,MAR,0.0
Athletics,10000m men,athens-2004,Athlete,0,19,JPN,0.0
Athletics,10000m men,athens-2004,Athlete,0,20,MEX,0.0
Athletics,10000m men,athens-2004,Athlete,0,21,MEX,0.0
Athletics,10000m men,athens-2004,Athlete,0,DNF,NZL,0.0
Athletics,10000m men,athens-2004,Athlete,0,DNF,USA,0.0
Athletics,10000m men,athens-2004,Athlete,0,DNF,TAN,0.0
Athletics,200m women,athens-2004,Athlete,GOLD,1,JAM,2.0
Athletics,200m women,athens-2004,Athlete,SILVER,2,USA,3.0
Athletics,200m women,athens-2004,Athlete,BRONZE,3,BAH,1.0
Athletics,200m women,athens-2004,Athlete,0,4,JAM,0.0
Athletics,200m women,athens-2004,Athlete,0,5,BUL,0.0
Athletics,200m women,athens-2004,Athlete,0,6,BEL,0.0
Athletics,200m women,athens-2004,Athlete,0,7,GBR,0.0
Athletics,200m women,athens-2004,Athlete,0,7,USA,0.0
Athletics,shot put women,athens-2004,Athlete,GOLD,1,CUB,2.0
Athletics,shot put women,athens-2004,Athlete,SILVER,2,GER,3.0
Athletics,shot put women,athens-2004,Athlete,0,4,BLR,0.0
Athletics,shot put women,athens-2004,Athlete,0,5,BLR,0.0
Athletics,shot put women,athens-2004,Athlete,0,6,POL,0.0
Athletics,shot put women,athens-2004,Athlete,0,7,CUB,0.0
Athletics,shot put women,athens-2004,Athlete,0,8,NZL,0.0
Athletics,shot put women,athens-2004,Athlete,0,9,CHN,0.0
Athletics,shot put women,athens-2004,Athlete,0,10,TTO,0.0
Athletics,shot put women,athens-2004,Athlete,0,11,NED,0.0
Athletics,shot put women,athens-2004,Athlete,0,DSQ,UZB,0.0
Athletics,shot put women,athens-2004,Athlete,0,DSQ,RUS,0.0
Athletics,shot put women,athens-2004,Athlete,0,DSQ,RUS,0.0
Athletics,4x400m relay men,athens-2004,GameTeam,GOLD,1,USA,2.0
Athletics,4x400m relay men,athens-2004,GameTeam,SILVER,2,AUS,3.0
Athletics,4x400m relay men,athens-2004,GameTeam,BRONZE,3,NGR,1.0
Athletics,4x400m relay men,athens-2004,GameTeam,0,4,JPN,0.0
Athletics,4x400m relay men,athens-2004,GameTeam,0,5,GBR,0.0
Athletics,4x400m relay men,athens-2004,GameTeam,0,6,BAH,0.0
Athletics,4x400m relay men,athens-2004,GameTeam,0,7,GER,0.0
Athletics,4x400m relay men,athens-2004,GameTeam,0,8,BOT,0.0
Athletics,pole vault women,athens-2004,Athlete,GOLD,1,RUS,2.0
Athletics,pole vault women,athens-2004,Athlete,SILVER,2,RUS,3.0
Athletics,pole vault women,athens-2004,Athlete,BRONZE,3,POL,1.0
Athletics,pole vault women,athens-2004,Athlete,0,4,POL,0.0
Athletics,pole vault women,athens-2004,Athlete,0,5,ISL,0.0
Athletics,pole vault women,athens-2004,Athlete,0,6,CAN,0.0
Athletics,pole vault women,athens-2004,Athlete,0,6,ESP,0.0
Athletics,pole vault women,athens-2004,Athlete,0,6,FRA,0.0
Athletics,pole vault women,athens-2004,Athlete,0,6,UKR,0.0
Athletics,pole vault women,athens-2004,Athlete,0,10,CAN,0.0
Athletics,pole vault women,athens-2004,Athlete,0,11,CZE,0.0
Athletics,pole vault women,athens-2004,Athlete,0,12,CZE,0.0
Athletics,pole vault women,athens-2004,Athlete,0,13,ARG,0.0
Athletics,pole vault women,athens-2004,Athlete,0,13,GER,0.0
Athletics,10000m women,athens-2004,Athlete,GOLD,1,CHN,2.0
Athletics,10000m women,athens-2004,Athlete,SILVER,2,ETH,3.0
Athletics,10000m women,athens-2004,Athlete,BRONZE,3,ETH,1.0
Athletics,10000m women,athens-2004,Athlete,0,4,ETH,0.0
Athletics,10000m women,athens-2004,Athlete,0,5,NED,0.0
Athletics,10000m women,athens-2004,Athlete,0,6,CHN,0.0
Athletics,10000m women,athens-2004,Athlete,0,7,LAT,0.0
Athletics,10000m women,athens-2004,Athlete,0,8,RUS,0.0
