discipline_title,event_title,game_slug,participant_type,medal_type,rank_position,country_3_letter_code,medal_type_encoded
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,17,CHN,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,18,ESP,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,19,CAN,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,20,SUI,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,21,NOR,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,22,ISR,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,23,SUI,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,24,BER,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,24,BRA,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,26,PAN,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,27,JPN,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,28,TTO,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,29,FIN,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,30,AUT,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,31,MEX,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,32,PHI,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,33,ISL,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,34,ARG,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,34,POR,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,36,PHI,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,37,HKG,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,38,ISL,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,39,HKG,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,40,VEN,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,41,PER,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,42,SGP,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,43,EGY,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,44,GUA,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,45,ISV,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,46,ISV,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,47,KUW,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,48,SMR,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,49,KUW,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,50,LBN,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,DSQ,CHN,0.0
Swimming,100m breaststroke men,los-angeles-1984,Athlete,0,DSQ,HON,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,GOLD,1,USA,2.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,SILVER,2,USA,3.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,BRONZE,3,NED,1.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,4,AUS,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,5,NED,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,6,GBR,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,7,FRG,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,8,AUS,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,9,ITA,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,10,FRG,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,11,CAN,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,12,SWE,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,13,JPN,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,14,CAN,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,15,GBR,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,16,JPN,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,17,ITA,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,18,TPE,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,19,FRA,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,20,IRL,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,21,MEX,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,22,PER,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,23,GRE,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,24,MEX,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,25,PHI,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,26,ISR,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,27,ARG,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,28,TPE,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,29,KOR,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,30,HKG,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,31,GUA,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,32,GUA,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,33,EGY,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,34,SMR,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,35,FIJ,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,36,HON,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,DNS,SWE,0.0
Swimming,200m freestyle women,los-angeles-1984,Athlete,0,DNS,TUN,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,GOLD,1,AUS,2.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,SILVER,2,FRG,3.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,BRONZE,3,VEN,1.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,4,USA,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,5,NZL,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,6,CAN,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,7,CAN,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,8,USA,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,9,JPN,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,10,NED,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,11,GBR,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,12,PUR,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,13,NED,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,14,ITA,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,15,ESP,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,16,GBR,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,17,BRA,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,18,GRE,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,19,JPN,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,20,SUI,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,21,SWE,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,22,ISR,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,23,POR,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,24,VEN,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,25,FRG,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,26,DEN,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,27,TUR,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,28,KOR,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,29,HKG,0.0
Swimming,200m butterfly men,los-angeles-1984,Athlete,0,30,CRC,0.0
