discipline_title,game_slug,event_title,event_gender,medal_type,participant_type,athlete_full_name,country_3_letter_code
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Stefania CONSTANTINI,ITA
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Amos MOSANER,ITA
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Kristin SKASLIEN,NOR
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Magnus NEDREGOTTEN,NOR
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Almida DE VAL,SWE
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Oskar ERIKSSON,SWE
Curling,beijing-2022,Women,Women,GOLD,GameTeam,,GBR
Curling,beijing-2022,Women,Women,SILVER,GameTeam,,JPN
Curling,beijing-2022,Women,Women,BRONZE,GameTeam,,SWE
Curling,beijing-2022,Men,Men,GOLD,GameTeam,,SWE
Curling,beijing-2022,Men,Men,SILVER,GameTeam,,GBR
Curling,beijing-2022,Men,Men,BRONZE,GameTeam,,CAN
Freestyle Skiing,beijing-2022,Men's Moguls,Men,SILVER,Athlete,Mikael KINGSBURY,CAN
Freestyle Skiing,beijing-2022,Men's Moguls,Men,GOLD,Athlete,Walter WALLBERG,SWE
Freestyle Skiing,beijing-2022,Men's Moguls,Men,BRONZE,Athlete,Ikuma HORISHIMA,JPN
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,GOLD,Athlete,Nico PORTEOUS,NZL
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,SILVER,Athlete,David WISE,USA
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,BRONZE,Athlete,Alex FERREIRA,USA
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,BRONZE,Athlete,Henrik HARLAUT,SWE
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,GOLD,Athlete,Birk RUUD,NOR
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,SILVER,Athlete,Colby STEVENSON,USA
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,BRONZE,Athlete,Sergey RIDZIK,ROC
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,SILVER,Athlete,Alex FIVA,SUI
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,GOLD,Athlete,Ryan REGEZ,SUI
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,BRONZE,Athlete,Mathilde GREMAUD,SUI
